id,item_id,date,quantity,cost (CLP),delivery_date
26210,1818,8/31/2020,45,1228905,9/11/2020
26211,1827,8/31/2020,9,121032,9/11/2020
26212,1813,8/31/2020,32,88032,9/6/2020
26213,1861,8/31/2020,19,251256,9/6/2020
26214,1852,8/31/2020,14,751632,9/9/2020
26215,1800,8/31/2020,49,1182125,9/10/2020
26216,1787,8/31/2020,15,251820,9/5/2020
26217,1822,8/31/2020,14,64554,9/15/2020
26218,1866,8/31/2020,3,39543,9/14/2020
26219,1840,8/31/2020,4,80552,9/6/2020
26220,1821,8/31/2020,3,7143,9/11/2020
26221,1791,9/7/2020,16,59552,9/13/2020
26222,1798,9/7/2020,27,496800,9/21/2020
26223,1812,9/7/2020,21,318885,9/20/2020
26224,1804,9/7/2020,1,9632,9/14/2020
26225,1809,9/7/2020,14,290234,9/10/2020
26226,1796,9/7/2020,27,214056,9/20/2020
26227,1823,9/7/2020,11,178541,9/13/2020
26228,1792,9/7/2020,1,6719,9/14/2020
26229,1846,9/7/2020,9,123336,9/11/2020
26230,1831,9/7/2020,38,647862,9/19/2020
26231,1811,9/7/2020,8,44816,9/14/2020
26232,1848,9/7/2020,6,31554,9/15/2020
26233,1799,9/7/2020,16,495696,9/13/2020
26234,1829,9/7/2020,15,94290,9/19/2020
26235,1847,9/7/2020,11,69542,9/12/2020
26236,1830,9/7/2020,2,10006,9/15/2020
26237,1832,9/7/2020,11,387310,9/22/2020
26238,1801,9/7/2020,39,80340,9/12/2020
26239,1851,9/7/2020,65,3095170,9/16/2020
26240,1842,9/7/2020,3,37146,9/16/2020
26241,1785,9/7/2020,47,792185,9/18/2020
26242,1790,9/7/2020,113,4637181,9/15/2020
26243,1789,9/7/2020,56,1306368,9/20/2020
26244,1819,9/7/2020,13,110786,9/17/2020
26245,1849,9/7/2020,14,576870,9/13/2020
26246,1825,9/7/2020,8,41776,9/15/2020
26247,1854,9/7/2020,46,137310,9/18/2020
26248,1841,9/7/2020,4,89152,9/12/2020
26249,1813,9/7/2020,12,33012,9/17/2020
26250,1787,9/7/2020,9,151092,9/22/2020
26251,1797,9/7/2020,35,139790,9/14/2020
26252,1840,9/7/2020,2,40276,9/20/2020
26253,1806,9/7/2020,2,24194,9/19/2020
26254,1791,9/14/2020,10,37220,9/17/2020
26255,1810,9/14/2020,6,40230,9/19/2020
26256,1804,9/14/2020,7,67424,9/17/2020
26257,1802,9/14/2020,21,74151,9/19/2020
26258,1809,9/14/2020,8,165848,9/24/2020
26259,1788,9/14/2020,43,1444757,9/25/2020
26260,1820,9/14/2020,19,241870,9/27/2020
26261,1823,9/14/2020,2,32462,9/29/2020
26262,1792,9/14/2020,15,100785,9/22/2020
26263,1856,9/14/2020,4,29556,9/25/2020
26264,1846,9/14/2020,10,137040,9/23/2020
26265,1795,9/14/2020,17,63104,9/28/2020
26266,1803,9/14/2020,6,33192,9/24/2020
26267,1794,9/14/2020,16,58096,9/21/2020
26268,1811,9/14/2020,1,5602,9/27/2020
26269,1799,9/14/2020,10,309810,9/19/2020
26270,1850,9/14/2020,38,1294660,9/30/2020
26271,1844,9/14/2020,10,159090,9/21/2020
26272,1816,9/14/2020,11,201256,9/18/2020
26273,1858,9/14/2020,2,103422,9/21/2020
26274,1847,9/14/2020,10,63220,9/27/2020
26275,1855,9/14/2020,1,3273,9/24/2020
26276,1845,9/14/2020,21,339885,9/21/2020
26277,1805,9/14/2020,9,27837,9/21/2020
26278,1801,9/14/2020,7,14420,9/19/2020
26279,1843,9/14/2020,2,25062,9/19/2020
26280,1828,9/14/2020,41,816966,9/22/2020
26281,1793,9/14/2020,21,32592,9/24/2020
26282,1853,9/14/2020,70,2948820,9/21/2020
26283,1849,9/14/2020,18,741690,9/22/2020
26284,1786,9/14/2020,30,399180,9/24/2020
26285,1817,9/14/2020,30,565650,9/24/2020
26286,1841,9/14/2020,6,133728,9/17/2020
26287,1818,9/14/2020,41,1119669,9/18/2020
26288,1827,9/14/2020,30,403440,9/23/2020
26289,1852,9/14/2020,3,161064,9/26/2020
26290,1800,9/14/2020,33,796125,9/22/2020
26291,1797,9/14/2020,13,51922,9/22/2020
26292,1821,9/14/2020,20,47620,9/25/2020
26293,1791,9/21/2020,6,22332,9/30/2020
26294,1798,9/21/2020,17,312800,10/2/2020
26295,1812,9/21/2020,14,212590,9/28/2020
26296,1810,9/21/2020,1,6705,9/25/2020
26297,1796,9/21/2020,10,79280,9/25/2020
26298,1831,9/21/2020,18,306882,9/28/2020
26299,1794,9/21/2020,5,18155,9/27/2020
26300,1848,9/21/2020,30,157770,9/27/2020
26301,1799,9/21/2020,6,185886,10/5/2020
26302,1844,9/21/2020,12,190908,10/1/2020
26303,1816,9/21/2020,4,73184,9/26/2020
26304,1829,9/21/2020,3,18858,9/24/2020
26305,1858,9/21/2020,1,51711,9/24/2020
26306,1830,9/21/2020,34,170102,9/30/2020
26307,1845,9/21/2020,4,64740,9/28/2020
26308,1826,9/21/2020,3,10017,10/4/2020
26309,1801,9/21/2020,4,8240,10/2/2020
26310,1851,9/21/2020,24,1142832,9/26/2020
26311,1842,9/21/2020,12,148584,9/26/2020
26312,1843,9/21/2020,19,238089,9/28/2020
26313,1785,9/21/2020,36,606780,9/30/2020
26314,1790,9/21/2020,27,1107999,9/28/2020
26315,1789,9/21/2020,51,1189728,10/6/2020
26316,1853,9/21/2020,23,968898,9/25/2020
26317,1819,9/21/2020,12,102264,9/27/2020
26318,1825,9/21/2020,4,20888,9/28/2020
26319,1854,9/21/2020,20,59700,9/28/2020
26320,1841,9/21/2020,1,22288,9/28/2020
26321,1818,9/21/2020,18,491562,9/29/2020
26322,1813,9/21/2020,20,55020,9/27/2020
26323,1822,9/21/2020,11,50721,10/3/2020
26324,1840,9/21/2020,10,201380,9/25/2020
26325,1806,9/21/2020,6,72582,10/5/2020
26326,1812,9/28/2020,12,182220,10/13/2020
26327,1804,9/28/2020,3,28896,10/7/2020
26328,1802,9/28/2020,10,35310,10/3/2020
26329,1809,9/28/2020,8,165848,10/10/2020
26330,1788,9/28/2020,33,1108767,10/9/2020
26331,1796,9/28/2020,4,31712,10/4/2020
26332,1820,9/28/2020,12,152760,10/4/2020
26333,1792,9/28/2020,10,67190,10/7/2020
26334,1856,9/28/2020,11,81279,10/13/2020
26335,1846,9/28/2020,8,109632,10/4/2020
26336,1824,9/28/2020,2,11936,10/5/2020
26337,1795,9/28/2020,7,25984,10/10/2020
26338,1831,9/28/2020,15,255735,10/4/2020
26339,1803,9/28/2020,11,60852,10/2/2020
26340,1794,9/28/2020,7,25417,10/3/2020
26341,1811,9/28/2020,10,56020,10/10/2020
26342,1815,9/28/2020,1,17363,10/12/2020
26343,1829,9/28/2020,15,94290,10/14/2020
26344,1847,9/28/2020,29,183338,10/5/2020
26345,1855,9/28/2020,9,29457,10/7/2020
26346,1832,9/28/2020,33,1161930,10/12/2020
26347,1845,9/28/2020,10,161850,10/10/2020
26348,1805,9/28/2020,2,6186,10/3/2020
26349,1833,9/28/2020,1,92867,10/9/2020
26350,1851,9/28/2020,9,428562,10/13/2020
26351,1828,9/28/2020,40,797040,10/3/2020
26352,1790,9/28/2020,17,697629,10/14/2020
26353,1793,9/28/2020,5,7760,10/6/2020
26354,1853,9/28/2020,34,1432284,10/6/2020
26355,1819,9/28/2020,8,68176,10/3/2020
26356,1849,9/28/2020,17,700485,10/10/2020
26357,1786,9/28/2020,18,239508,10/8/2020
26358,1825,9/28/2020,1,5222,10/9/2020
26359,1817,9/28/2020,28,527940,10/2/2020
26360,1854,9/28/2020,9,26865,10/4/2020
26361,1841,9/28/2020,2,44576,10/5/2020
26362,1827,9/28/2020,13,174824,10/7/2020
26363,1813,9/28/2020,14,38514,10/3/2020
26364,1852,9/28/2020,3,161064,10/3/2020
26365,1800,9/28/2020,20,482500,10/3/2020
26366,1787,9/28/2020,6,100728,10/3/2020
26367,1797,9/28/2020,11,43934,10/6/2020
26368,1840,9/28/2020,1,20138,10/3/2020
26369,1821,9/28/2020,14,33334,10/5/2020
26370,1791,10/5/2020,18,66996,10/12/2020
26371,1860,10/5/2020,20,244280,10/11/2020
26372,1798,10/5/2020,30,552000,10/18/2020
26373,1810,10/5/2020,2,13410,10/10/2020
26374,1802,10/5/2020,2,7062,10/19/2020
26375,1796,10/5/2020,25,198200,10/13/2020
26376,1820,10/5/2020,4,50920,10/8/2020
26377,1823,10/5/2020,15,243465,10/9/2020
26378,1863,10/5/2020,13,45734,10/8/2020
26379,1846,10/5/2020,10,137040,10/8/2020
26380,1824,10/5/2020,5,29840,10/16/2020
26381,1831,10/5/2020,15,255735,10/16/2020
26382,1794,10/5/2020,34,123454,10/17/2020
26383,1848,10/5/2020,3,15777,10/18/2020
26384,1799,10/5/2020,39,1208259,10/12/2020
26385,1850,10/5/2020,55,1873850,10/10/2020
26386,1844,10/5/2020,8,127272,10/11/2020
26387,1816,10/5/2020,7,128072,10/10/2020
26388,1847,10/5/2020,10,63220,10/13/2020
26389,1836,10/5/2020,1,19089,10/12/2020
26390,1830,10/5/2020,13,65039,10/16/2020
26391,1805,10/5/2020,10,30930,10/10/2020
26392,1826,10/5/2020,3,10017,10/17/2020
26393,1801,10/5/2020,44,90640,10/14/2020
26394,1842,10/5/2020,7,86674,10/11/2020
26395,1785,10/5/2020,55,927025,10/12/2020
26396,1828,10/5/2020,10,199260,10/14/2020
26397,1867,10/5/2020,29,362413,10/9/2020
26398,1869,10/5/2020,13,14755,10/9/2020
26399,1817,10/5/2020,20,377100,10/14/2020
26400,1854,10/5/2020,10,29850,10/12/2020
26401,1841,10/5/2020,7,156016,10/10/2020
26402,1818,10/5/2020,81,2212029,10/9/2020
26403,1813,10/5/2020,13,35763,10/18/2020
26404,1861,10/5/2020,18,238032,10/12/2020
26405,1852,10/5/2020,15,805320,10/9/2020
26406,1800,10/5/2020,27,651375,10/14/2020
26407,1787,10/5/2020,7,117516,10/14/2020
26408,1822,10/5/2020,10,46110,10/13/2020
26409,1866,10/5/2020,4,52724,10/11/2020
26410,1840,10/5/2020,18,362484,10/11/2020
26411,1806,10/5/2020,3,36291,10/15/2020
26412,1791,10/12/2020,9,33498,10/19/2020
26413,1810,10/12/2020,2,13410,10/21/2020
26414,1804,10/12/2020,8,77056,10/18/2020
26415,1809,10/12/2020,8,165848,10/22/2020
26416,1788,10/12/2020,58,1948742,10/23/2020
26417,1820,10/12/2020,2,25460,10/22/2020
26418,1823,10/12/2020,3,48693,10/23/2020
26419,1792,10/12/2020,27,181413,10/16/2020
26420,1846,10/12/2020,11,150744,10/19/2020
26421,1795,10/12/2020,51,189312,10/21/2020
26422,1803,10/12/2020,2,11064,10/18/2020
26423,1811,10/12/2020,7,39214,10/18/2020
26424,1799,10/12/2020,14,433734,10/18/2020
26425,1815,10/12/2020,6,104178,10/27/2020
26426,1850,10/12/2020,16,545120,10/20/2020
26427,1844,10/12/2020,3,47727,10/24/2020
26428,1816,10/12/2020,1,18296,10/25/2020
26429,1855,10/12/2020,5,16365,10/17/2020
26430,1832,10/12/2020,12,422520,10/18/2020
26431,1845,10/12/2020,14,226590,10/19/2020
26432,1833,10/12/2020,1,92867,10/19/2020
26433,1842,10/12/2020,8,99056,10/20/2020
26434,1785,10/12/2020,9,151695,10/28/2020
26435,1789,10/12/2020,38,886464,10/16/2020
26436,1793,10/12/2020,17,26384,10/16/2020
26437,1853,10/12/2020,57,2401182,10/24/2020
26438,1819,10/12/2020,9,76698,10/19/2020
26439,1849,10/12/2020,52,2142660,10/28/2020
26440,1786,10/12/2020,35,465710,10/18/2020
26441,1825,10/12/2020,3,15666,10/23/2020
26442,1854,10/12/2020,16,47760,10/16/2020
26443,1841,10/12/2020,9,200592,10/17/2020
26444,1818,10/12/2020,10,273090,10/20/2020
26445,1827,10/12/2020,17,228616,10/20/2020
26446,1852,10/12/2020,1,53688,10/22/2020
26447,1797,10/12/2020,21,83874,10/17/2020
26448,1821,10/12/2020,15,35715,10/18/2020
26449,1798,10/19/2020,14,257600,10/25/2020
26450,1812,10/19/2020,35,531475,10/24/2020
26451,1804,10/19/2020,7,67424,10/24/2020
26452,1802,10/19/2020,5,17655,10/25/2020
26453,1796,10/19/2020,17,134776,10/30/2020
26454,1792,10/19/2020,13,87347,10/23/2020
26455,1856,10/19/2020,5,36945,10/22/2020
26456,1846,10/19/2020,2,27408,10/28/2020
26457,1824,10/19/2020,10,59680,11/1/2020
26458,1807,10/19/2020,4,37316,10/25/2020
26459,1831,10/19/2020,19,323931,10/30/2020
26460,1803,10/19/2020,2,11064,10/29/2020
26461,1794,10/19/2020,17,61727,10/30/2020
26462,1848,10/19/2020,21,110439,10/29/2020
26463,1799,10/19/2020,12,371772,10/26/2020
26464,1829,10/19/2020,16,100576,10/23/2020
26465,1847,10/19/2020,15,94830,10/24/2020
26466,1830,10/19/2020,17,85051,10/24/2020
26467,1832,10/19/2020,15,528150,10/27/2020
26468,1845,10/19/2020,7,113295,10/24/2020
26469,1826,10/19/2020,9,30051,10/27/2020
26470,1801,10/19/2020,12,24720,10/26/2020
26471,1851,10/19/2020,84,3999912,10/26/2020
26472,1828,10/19/2020,70,1394820,10/25/2020
26473,1790,10/19/2020,89,3652293,10/27/2020
26474,1789,10/19/2020,18,419904,10/23/2020
26475,1793,10/19/2020,4,6208,10/30/2020
26476,1819,10/19/2020,5,42610,10/27/2020
26477,1786,10/19/2020,7,93142,10/24/2020
26478,1817,10/19/2020,53,999315,10/25/2020
26479,1854,10/19/2020,11,32835,10/27/2020
26480,1813,10/19/2020,36,99036,11/4/2020
26481,1800,10/19/2020,29,699625,10/27/2020
26482,1822,10/19/2020,16,73776,11/2/2020
26483,1797,10/19/2020,12,47928,10/23/2020
26484,1821,10/19/2020,1,2381,10/29/2020
26485,1806,10/19/2020,6,72582,10/22/2020
26486,1791,10/26/2020,5,18610,11/7/2020
26487,1798,10/26/2020,6,110400,11/4/2020
26488,1812,10/26/2020,16,242960,10/30/2020
26489,1810,10/26/2020,5,33525,11/1/2020
26490,1804,10/26/2020,1,9632,11/8/2020
26491,1809,10/26/2020,17,352427,11/3/2020
26492,1788,10/26/2020,18,604782,11/4/2020
26493,1820,10/26/2020,8,101840,10/31/2020
26494,1823,10/26/2020,11,178541,11/1/2020
26495,1795,10/26/2020,15,55680,11/8/2020
26496,1811,10/26/2020,1,5602,11/8/2020
26497,1799,10/26/2020,10,309810,10/30/2020
26498,1850,10/26/2020,34,1158380,11/1/2020
26499,1844,10/26/2020,23,365907,10/29/2020
26500,1816,10/26/2020,3,54888,11/10/2020
26501,1829,10/26/2020,11,69146,11/5/2020
26502,1847,10/26/2020,14,88508,11/8/2020
26503,1855,10/26/2020,2,6546,11/6/2020
26504,1830,10/26/2020,9,45027,11/4/2020
26505,1845,10/26/2020,3,48555,10/31/2020
26506,1805,10/26/2020,4,12372,11/2/2020
26507,1801,10/26/2020,10,20600,10/31/2020
26508,1851,10/26/2020,17,809506,11/1/2020
26509,1842,10/26/2020,9,111438,11/3/2020
26510,1843,10/26/2020,2,25062,11/3/2020
26511,1828,10/26/2020,44,876744,10/30/2020
26512,1789,10/26/2020,19,443232,10/31/2020
26513,1853,10/26/2020,44,1853544,10/31/2020
26514,1786,10/26/2020,13,172978,10/30/2020
26515,1825,10/26/2020,15,78330,11/3/2020
26516,1817,10/26/2020,18,339390,11/6/2020
26517,1841,10/26/2020,7,156016,11/4/2020
26518,1818,10/26/2020,60,1638540,11/5/2020
26519,1827,10/26/2020,24,322752,11/3/2020
26520,1787,10/26/2020,10,167880,11/1/2020
26521,1806,10/26/2020,14,169358,11/4/2020
26522,1812,11/2/2020,15,227775,11/6/2020
26523,1810,11/2/2020,1,6705,11/7/2020
26524,1802,11/2/2020,3,10593,11/8/2020
26525,1820,11/2/2020,6,76380,11/7/2020
26526,1823,11/2/2020,4,64924,11/8/2020
26527,1792,11/2/2020,2,13438,11/10/2020
26528,1856,11/2/2020,10,73890,11/7/2020
26529,1846,11/2/2020,9,123336,11/18/2020
26530,1824,11/2/2020,6,35808,11/10/2020
26531,1831,11/2/2020,18,306882,11/10/2020
26532,1803,11/2/2020,5,27660,11/7/2020
26533,1794,11/2/2020,19,68989,11/8/2020
26534,1848,11/2/2020,15,78885,11/5/2020
26535,1799,11/2/2020,10,309810,11/10/2020
26536,1815,11/2/2020,4,69452,11/6/2020
26537,1850,11/2/2020,5,170350,11/9/2020
26538,1832,11/2/2020,4,140840,11/10/2020
26539,1845,11/2/2020,4,64740,11/7/2020
26540,1801,11/2/2020,6,12360,11/8/2020
26541,1851,11/2/2020,7,333326,11/13/2020
26542,1785,11/2/2020,40,674200,11/13/2020
26543,1828,11/2/2020,26,518076,11/7/2020
26544,1790,11/2/2020,29,1190073,11/15/2020
26545,1789,11/2/2020,17,396576,11/16/2020
26546,1793,11/2/2020,20,31040,11/5/2020
26547,1853,11/2/2020,29,1221654,11/11/2020
26548,1819,11/2/2020,10,85220,11/9/2020
26549,1849,11/2/2020,25,1030125,11/12/2020
26550,1786,11/2/2020,9,119754,11/5/2020
26551,1854,11/2/2020,19,56715,11/15/2020
26552,1852,11/2/2020,3,161064,11/8/2020
26553,1800,11/2/2020,32,772000,11/6/2020
26554,1787,11/2/2020,1,16788,11/13/2020
26555,1822,11/2/2020,5,23055,11/18/2020
26556,1821,11/2/2020,10,23810,11/11/2020
26557,1791,11/9/2020,7,26054,11/19/2020
26558,1798,11/9/2020,16,294400,11/24/2020
26559,1812,11/9/2020,14,212590,11/19/2020
26560,1810,11/9/2020,1,6705,11/17/2020
26561,1804,11/9/2020,4,38528,11/16/2020
26562,1802,11/9/2020,5,17655,11/20/2020
26563,1809,11/9/2020,15,310965,11/18/2020
26564,1788,11/9/2020,29,974371,11/16/2020
26565,1857,11/9/2020,4,140448,11/13/2020
26566,1823,11/9/2020,5,81155,11/19/2020
26567,1795,11/9/2020,5,18560,11/12/2020
26568,1803,11/9/2020,2,11064,11/19/2020
26569,1794,11/9/2020,1,3631,11/15/2020
26570,1811,11/9/2020,8,44816,11/14/2020
26571,1848,11/9/2020,10,52590,11/16/2020
26572,1815,11/9/2020,10,173630,11/21/2020
26573,1850,11/9/2020,16,545120,11/16/2020
26574,1844,11/9/2020,1,15909,11/14/2020
26575,1829,11/9/2020,28,176008,11/18/2020
26576,1847,11/9/2020,10,63220,11/19/2020
26577,1855,11/9/2020,5,16365,11/14/2020
26578,1830,11/9/2020,24,120072,11/13/2020
26579,1845,11/9/2020,7,113295,11/14/2020
26580,1801,11/9/2020,6,12360,11/15/2020
26581,1842,11/9/2020,5,61910,11/13/2020
26582,1843,11/9/2020,12,150372,11/20/2020
26583,1828,11/9/2020,46,916596,11/19/2020
26584,1793,11/9/2020,1,1552,11/19/2020
26585,1819,11/9/2020,4,34088,11/18/2020
26586,1786,11/9/2020,10,133060,11/20/2020
26587,1838,11/9/2020,1,26645,11/16/2020
26588,1825,11/9/2020,12,62664,11/14/2020
26589,1817,11/9/2020,25,471375,11/15/2020
26590,1841,11/9/2020,3,66864,11/23/2020
26591,1818,11/9/2020,44,1201596,11/21/2020
26592,1827,11/9/2020,22,295856,11/20/2020
26593,1813,11/9/2020,27,74277,11/12/2020
26594,1800,11/9/2020,19,458375,11/17/2020
26595,1840,11/9/2020,6,120828,11/15/2020
26596,1804,11/16/2020,6,57792,11/21/2020
26597,1788,11/16/2020,20,671980,11/28/2020
26598,1796,11/16/2020,1,7928,11/23/2020
26599,1820,11/16/2020,17,216410,11/25/2020
26600,1792,11/16/2020,19,127661,11/28/2020
26601,1795,11/16/2020,12,44544,11/21/2020
26602,1831,11/16/2020,19,323931,11/26/2020
26603,1794,11/16/2020,5,18155,11/28/2020
26604,1848,11/16/2020,11,57849,11/25/2020
26605,1799,11/16/2020,31,960411,11/25/2020
26606,1850,11/16/2020,18,613260,11/20/2020
26607,1844,11/16/2020,12,190908,11/20/2020
26608,1816,11/16/2020,6,109776,11/27/2020
26609,1855,11/16/2020,3,9819,11/30/2020
26610,1830,11/16/2020,10,50030,11/24/2020
26611,1832,11/16/2020,12,422520,11/22/2020
26612,1845,11/16/2020,5,80925,12/1/2020
26613,1805,11/16/2020,9,27837,11/26/2020
26614,1801,11/16/2020,16,32960,11/26/2020
26615,1851,11/16/2020,34,1619012,11/19/2020
26616,1842,11/16/2020,3,37146,11/21/2020
26617,1785,11/16/2020,24,404520,11/22/2020
26618,1790,11/16/2020,31,1272147,11/28/2020
26619,1789,11/16/2020,42,979776,11/21/2020
26620,1853,11/16/2020,36,1516536,11/25/2020
26621,1849,11/16/2020,23,947715,11/24/2020
26622,1825,11/16/2020,2,10444,11/27/2020
26623,1817,11/16/2020,7,131985,11/28/2020
26624,1854,11/16/2020,35,104475,11/20/2020
26625,1813,11/16/2020,7,19257,11/23/2020
26626,1852,11/16/2020,1,53688,11/30/2020
26627,1787,11/16/2020,14,235032,11/23/2020
26628,1797,11/16/2020,9,35946,11/22/2020
26629,1840,11/16/2020,3,60414,11/26/2020
26630,1821,11/16/2020,21,50001,11/22/2020
26631,1791,11/23/2020,23,85606,11/29/2020
26632,1812,11/23/2020,26,394810,12/2/2020
26633,1810,11/23/2020,3,20115,11/30/2020
26634,1804,11/23/2020,4,38528,11/27/2020
26635,1802,11/23/2020,6,21186,12/1/2020
26636,1809,11/23/2020,21,435351,12/6/2020
26637,1796,11/23/2020,6,47568,12/4/2020
26638,1856,11/23/2020,11,81279,11/29/2020
26639,1846,11/23/2020,14,191856,11/27/2020
26640,1824,11/23/2020,3,17904,11/28/2020
26641,1795,11/23/2020,3,11136,12/1/2020
26642,1803,11/23/2020,7,38724,12/7/2020
26643,1850,11/23/2020,17,579190,12/3/2020
26644,1829,11/23/2020,22,138292,12/2/2020
26645,1858,11/23/2020,1,51711,11/29/2020
26646,1847,11/23/2020,11,69542,11/30/2020
26647,1832,11/23/2020,16,563360,11/28/2020
26648,1826,11/23/2020,1,3339,11/29/2020
26649,1851,11/23/2020,11,523798,11/30/2020
26650,1842,11/23/2020,9,111438,11/29/2020
26651,1843,11/23/2020,6,75186,11/29/2020
26652,1785,11/23/2020,28,471940,11/29/2020
26653,1828,11/23/2020,47,936522,11/27/2020
26654,1789,11/23/2020,13,303264,12/2/2020
26655,1793,11/23/2020,23,35696,12/1/2020
26656,1819,11/23/2020,7,59654,11/27/2020
26657,1786,11/23/2020,33,439098,11/29/2020
26658,1854,11/23/2020,15,44775,11/30/2020
26659,1841,11/23/2020,14,312032,11/26/2020
26660,1818,11/23/2020,56,1529304,12/4/2020
26661,1827,11/23/2020,18,242064,12/1/2020
26662,1813,11/23/2020,17,46767,12/4/2020
26663,1800,11/23/2020,20,482500,12/1/2020
26664,1787,11/23/2020,10,167880,11/27/2020
26665,1822,11/23/2020,10,46110,12/3/2020
26666,1797,11/23/2020,15,59910,11/28/2020
26667,1806,11/23/2020,1,12097,11/30/2020
26668,1791,11/30/2020,11,40942,12/5/2020
26669,1860,11/30/2020,26,317564,12/9/2020
26670,1798,11/30/2020,33,607200,12/6/2020
26671,1810,11/30/2020,1,6705,12/14/2020
26672,1804,11/30/2020,6,57792,12/6/2020
26673,1788,11/30/2020,42,1411158,12/12/2020
26674,1820,11/30/2020,19,241870,12/11/2020
26675,1823,11/30/2020,15,243465,12/10/2020
26676,1792,11/30/2020,22,147818,12/8/2020
26677,1863,11/30/2020,13,45734,12/12/2020
26678,1846,11/30/2020,3,41112,12/14/2020
26679,1824,11/30/2020,3,17904,12/8/2020
26680,1831,11/30/2020,28,477372,12/6/2020
26681,1794,11/30/2020,37,134347,12/7/2020
26682,1811,11/30/2020,1,5602,12/7/2020
26683,1848,11/30/2020,31,163029,12/9/2020
26684,1799,11/30/2020,40,1239240,12/4/2020
26685,1815,11/30/2020,7,121541,12/7/2020
26686,1816,11/30/2020,5,91480,12/8/2020
26687,1858,11/30/2020,1,51711,12/3/2020
26688,1847,11/30/2020,12,75864,12/6/2020
26689,1855,11/30/2020,13,42549,12/5/2020
26690,1830,11/30/2020,27,135081,12/13/2020
26691,1832,11/30/2020,2,70420,12/9/2020
26692,1805,11/30/2020,3,9279,12/15/2020
26693,1826,11/30/2020,1,3339,12/9/2020
26694,1801,11/30/2020,43,88580,12/5/2020
26695,1851,11/30/2020,41,1952338,12/7/2020
26696,1842,11/30/2020,2,24764,12/6/2020
26697,1843,11/30/2020,2,25062,12/9/2020
26698,1785,11/30/2020,37,623635,12/4/2020
26699,1828,11/30/2020,27,538002,12/9/2020
26700,1790,11/30/2020,91,3734367,12/13/2020
26701,1853,11/30/2020,115,4844490,12/9/2020
26702,1819,11/30/2020,4,34088,12/11/2020
26703,1849,11/30/2020,45,1854225,12/10/2020
26704,1867,11/30/2020,28,349916,12/6/2020
26705,1786,11/30/2020,35,465710,12/8/2020
26706,1869,11/30/2020,10,11350,12/4/2020
26707,1825,11/30/2020,6,31332,12/6/2020
26708,1817,11/30/2020,30,565650,12/7/2020
26709,1854,11/30/2020,9,26865,12/7/2020
26710,1841,11/30/2020,4,89152,12/3/2020
26711,1861,11/30/2020,21,277704,12/14/2020
26712,1852,11/30/2020,14,751632,12/13/2020
26713,1787,11/30/2020,13,218244,12/9/2020
26714,1797,11/30/2020,21,83874,12/7/2020
26715,1866,11/30/2020,3,39543,12/11/2020
26716,1840,11/30/2020,9,181242,12/7/2020
26717,1821,11/30/2020,7,16667,12/10/2020
26718,1806,11/30/2020,2,24194,12/8/2020
26719,1791,12/7/2020,5,18610,12/17/2020
26720,1798,12/7/2020,15,276000,12/15/2020
26721,1812,12/7/2020,26,394810,12/14/2020
26722,1804,12/7/2020,2,19264,12/21/2020
26723,1835,12/7/2020,4,460068,12/12/2020
26724,1802,12/7/2020,10,35310,12/21/2020
26725,1809,12/7/2020,13,269503,12/18/2020
26726,1796,12/7/2020,28,221984,12/14/2020
26727,1856,12/7/2020,9,66501,12/23/2020
26728,1795,12/7/2020,37,137344,12/16/2020
26729,1831,12/7/2020,13,221637,12/13/2020
26730,1803,12/7/2020,5,27660,12/15/2020
26731,1794,12/7/2020,6,21786,12/14/2020
26732,1811,12/7/2020,4,22408,12/15/2020
26733,1799,12/7/2020,25,774525,12/17/2020
26734,1815,12/7/2020,1,17363,12/15/2020
26735,1850,12/7/2020,54,1839780,12/11/2020
26736,1844,12/7/2020,8,127272,12/13/2020
26737,1829,12/7/2020,17,106862,12/13/2020
26738,1847,12/7/2020,10,63220,12/22/2020
26739,1836,12/7/2020,1,19089,12/16/2020
26740,1845,12/7/2020,24,388440,12/15/2020
26741,1801,12/7/2020,5,10300,12/19/2020
26742,1851,12/7/2020,18,857124,12/14/2020
26743,1842,12/7/2020,16,198112,12/15/2020
26744,1785,12/7/2020,4,67420,12/13/2020
26745,1808,12/7/2020,19,2311426,12/10/2020
26746,1789,12/7/2020,42,979776,12/20/2020
26747,1793,12/7/2020,25,38800,12/19/2020
26748,1838,12/7/2020,2,53290,12/14/2020
26749,1825,12/7/2020,7,36554,12/15/2020
26750,1817,12/7/2020,34,641070,12/10/2020
26751,1854,12/7/2020,12,35820,12/16/2020
26752,1818,12/7/2020,47,1283523,12/14/2020
26753,1827,12/7/2020,21,282408,12/17/2020
26754,1813,12/7/2020,20,55020,12/16/2020
26755,1800,12/7/2020,50,1206250,12/11/2020
26756,1822,12/7/2020,12,55332,12/17/2020
26757,1797,12/7/2020,1,3994,12/16/2020
26758,1840,12/7/2020,6,120828,12/17/2020
26759,1812,12/14/2020,14,212590,12/17/2020
26760,1810,12/14/2020,1,6705,12/21/2020
26761,1788,12/14/2020,26,873574,12/20/2020
26762,1796,12/14/2020,2,15856,12/24/2020
26763,1820,12/14/2020,4,50920,12/21/2020
26764,1823,12/14/2020,9,146079,12/19/2020
26765,1792,12/14/2020,9,60471,12/26/2020
26766,1846,12/14/2020,17,232968,12/18/2020
