item_id,description,description_2,group_description,unit_sale_price (CLP),cost (CLP),storage_cost (CLP),stock,size_m3,cost_per_purchase
1193,brit care adult small breed l&r 1 kg,adultos,alimento,8190.0,5515.0,26.0,4.0,0.015,2450.0
316,zeedog prisma adjustable air mesh harness small,paseo,accesorios,19300.0,15357.0,41.0,2.0,0.001,500.0
1665,bliss adjustable air mesh harness medium,paseo,accesorios,23900.0,17912.0,50.0,1.0,0.001,750.0
1425,florafix pet pasta probiotico 15 grs,medicamentos,medicamentos,10690.0,8008.0,20.0,0.0,0.0002,500.0
194,superpet perro adulto,suplementos,medicamentos,6990.0,4752.0,14.0,9.0,0.001,500.0
486,collar c/flor  ch. a. doctor,paseo,accesorios,2980.0,2086.0,6.0,2.0,0.001,500.0
1544,frontline 250 ml,ant. ext.,medicamentos,18990.0,12367.0,35.0,2.0,0.0002,500.0
1607,dogit estaca de enganche manilla roja,paseo,accesorios,8990.0,6426.0,19.0,2.0,0.001,500.0
1120,zeedog atlanta adjustable air mesh harness medium,paseo,accesorios,23900.0,17035.0,50.0,1.0,0.001,500.0
266,zeedog gotham leash small,paseo,accesorios,13850.0,10386.0,29.0,0.0,0.001,500.0
408,pawise mat de enfriamiento m 50x40 cm,enriquecimiento ambiental,accesorios,14990.0,10118.0,31.0,2.0,0.001,500.0
67,cadena cordon 3 mm a.doctor,paseo,accesorios,4190.0,2749.0,9.0,0.0,0.001,500.0
1100,zd smash adjustable air mesh harness large,paseo,accesorios,26400.0,19566.0,55.0,0.0,0.001,500.0
596,royal canin maxi adulto 15 kg,adultos,alimento,85410.0,66570.0,257.0,3.0,0.015,3000.0
1298,ocubiotic,ocular,medicamentos,13990.0,9502.0,26.0,2.0,0.0002,500.0
1702,afp chill out mat de enfriamiento large,juguetes,accesorios,49990.0,35078.0,104.0,2.0,0.001,1150.0
1318,proplan veterinarydiets cnne nc 6x2kg ar,adultos,alimento,28990.0,21856.0,88.0,0.0,0.015,1650.0
1792,royal canin alimento húmedo perro adulto,humedo,alimento,8990.0,6719.0,19.0,,,500.0
820,coastal sublime collar diamond l,paseo,accesorios,16990.0,11295.0,36.0,2.0,0.001,500.0
782,capa polar chiporro t/2 cata pets,ropa,accesorios,10590.0,8281.0,22.0,1.0,0.001,500.0
745,zd army green handsfree leash,paseo,accesorios,24900.0,19339.0,61.0,2.0,0.004,850.0
614,laxavet x 40 gr.,digestivo,medicamentos,9720.0,6893.0,18.0,0.0,0.0002,500.0
350,pro plan exigent small breed 3kg ar,adultos,alimento,30830.0,24032.0,93.0,0.0,0.015,800.0
867,cama para perro azumpets,hogar-transporte,accesorios,36990.0,27358.0,77.0,30.0,0.001,500.0
1435,pet woow dispensador de alimento,comederos,accesorios,159990.0,104395.0,335.0,5.0,0.001,1350.0
1856,botella de agua con contenedor de comida,hogar-transporte,accesorios,9990.0,7389.0,21.0,,,500.0
1556,amity sp low grain salmon adult 4 kg,adultos,alimento,18990.0,12690.0,57.0,0.0,0.015,1700.0
365,daily stuff transportadora route 1,hogar-transporte,accesorios,13990.0,9803.0,29.0,9.0,0.001,500.0
787,pelota portagolosina azul medium,juguetes,accesorios,9350.0,6367.0,20.0,2.0,0.001,500.0
1302,zeedog same h-harness large,paseo,accesorios,18900.0,13630.0,39.0,1.0,0.001,500.0
607,bravery salmon adult cat 2 kg,adultos,alimento,16990.0,12927.0,52.0,2.0,0.015,850.0
1527,cabatina 25 ml,vitaminas,medicamentos,11010.0,8608.0,21.0,0.0,0.0002,500.0
1317,zeedog mahalo leash small,paseo,accesorios,13850.0,10412.0,34.0,2.0,0.004,1150.0
261,zeedog zee.mat black,accesorios,accesorios,12860.0,9344.0,27.0,0.0,0.001,500.0
1043,lactadiet 7.5 gr sobre calostro,suplementos,medicamentos,790.0,610.0,2.0,2.0,0.0002,500.0
994,ultimate blue h-harness small,paseo,accesorios,13900.0,10181.0,34.0,2.0,0.004,1200.0
610,pink led cat collar,paseo,accesorios,4900.0,3850.0,10.0,4.0,0.001,500.0
677,poleron t/5 cata pets,ropa,accesorios,12990.0,8814.0,31.0,1.0,0.004,500.0
1007,fritz adjustable air mesh small,paseo,accesorios,19300.0,14545.0,41.0,0.0,0.001,600.0
465,royal can. shn mini adulto 3 kgr.,cachorros,alimento,25530.0,20038.0,77.0,0.0,0.015,1450.0
1745,coastal sublime collar chevrons l,paseo,accesorios,16990.0,11446.0,42.0,3.0,0.004,1600.0
1144,coastal fashion collar blossoms,paseo,accesorios,7990.0,6339.0,17.0,0.0,0.001,500.0
1647,zeus collar ajustable  m  rojo,paseo,accesorios,5290.0,4189.0,11.0,2.0,0.001,500.0
506,pro plan puppy small breed 3kg ar,cachorros,alimento,30830.0,22027.0,93.0,3.0,0.015,4800.0
71,arnes de seguridad para auto talla: xl,paseo,accesorios,19990.0,14624.0,49.0,0.0,0.004,500.0
259,pawise hollow buho,juguetes,accesorios,5000.0,3498.0,13.0,0.0,0.004,750.0
51,duo bowl black,comederos,accesorios,12900.0,8941.0,27.0,0.0,0.001,500.0
1091,cerenia comp. 60 mg.,digestivo,medicamentos,23360.0,15549.0,43.0,2.0,0.0002,500.0
931,bolso cabina negro,hogar-transporte,accesorios,21900.0,16366.0,54.0,0.0,0.004,1450.0
813,royal canin mini indoor adulto 2.5kg,adultos,alimento,26300.0,17276.0,80.0,0.0,0.015,3350.0
332,zeedog atlanta adjustable air mesh harness extra small,paseo,accesorios,29950.0,22161.0,62.0,0.0,0.001,500.0
752,collar gato brillantes a.doct.,paseo,accesorios,3950.0,3021.0,9.0,5.0,0.001,500.0
354,dogit dispensador alimento 2 lt,comederos,accesorios,13990.0,9916.0,29.0,1.0,0.001,500.0
864,poleron t/1 cata pets,ropa,accesorios,8990.0,6317.0,19.0,2.0,0.001,500.0
792,zd smash collar large,paseo,accesorios,12900.0,8711.0,31.0,0.0,0.004,1350.0
1863,bebedero/comedero para ave,adultos,alimento,4550.0,3518.0,11.0,,,500.0
1290,zd honey adjustable air mesh harness large,paseo,accesorios,26400.0,17759.0,65.0,1.0,0.004,550.0
1694,pack hamster animal care n°2,hogar-transporte,accesorios,67340.0,46574.0,164.0,0.0,0.004,600.0
518,zd artsy collar large,paseo,accesorios,12900.0,8730.0,27.0,0.0,0.001,500.0
1068,simparica antiparasitario 40 mg,antiparasitarios,medicamentos,10990.0,7658.0,23.0,5.0,0.001,500.0
1846,arnes y correa anti-tirones,ropa,accesorios,18990.0,13704.0,46.0,,,500.0
590,power ultra  21 - 40 kg,ant. ext.,medicamentos,11360.0,8274.0,21.0,4.0,0.0002,500.0
857,afp travel dog arnes seguridad m,paseo,accesorios,21990.0,17065.0,46.0,1.0,0.001,550.0
192,brit care cat sterilized urinary 7kg,adultos,alimento,55990.0,39355.0,168.0,0.0,0.015,6050.0
538,zd bordeau h-harness medium,paseo,accesorios,16900.0,11146.0,42.0,0.0,0.004,1300.0
1669,afp travel dog arnes seguridad l,paseo,accesorios,24990.0,19606.0,61.0,3.0,0.004,500.0
1022,big bone aluminum pink (my family),placas identificacion,accesorios,7130.0,4638.0,15.0,0.0,0.001,500.0
1344,sierra mountain 2 kg.,adultos,alimento,18290.0,12595.0,55.0,1.0,0.015,2000.0
1461,bloque neutralizador tortuga nutrafin,enriquecimiento ambiental,accesorios,1990.0,1403.0,4.0,1.0,0.001,500.0
141,big round aluminum black (my family),placas identificacion,accesorios,7130.0,5469.0,15.0,0.0,0.001,500.0
1824,doguivit adulto,suplementos,medicamentos,7990.0,5968.0,15.0,,,500.0
1121,cama iglu erizo mediano,camas,accesorios,4690.0,3650.0,10.0,1.0,0.001,500.0
1747,pez portagolosina rosado,juguetes,accesorios,3290.0,2592.0,7.0,0.0,0.001,500.0
339,zeedog greg,paseo,accesorios,8900.0,6628.0,19.0,0.0,0.001,500.0
555,dispensador alimento maya / s (200 gr.),comederos,accesorios,5630.0,4201.0,12.0,0.0,0.001,500.0
439,zeedog phantom adjustable air mesh harness small,paseo,accesorios,19300.0,14251.0,41.0,0.0,0.001,550.0
1807,comedero interactivo multi feeder,comederos,accesorios,13990.0,9329.0,34.0,,,500.0
374,pro plan gatos adulto salmon pouch 85,humedo,alimento,2330.0,1672.0,8.0,0.0,0.015,3500.0
271,pro plan feline veterinary diets nf advanced,adultos,alimento,30450.0,21757.0,91.0,1.0,0.015,3400.0
184,bravery chicken mini puppy small breeds 7 kg,cachorros,alimento,39990.0,29998.0,121.0,3.0,0.015,1700.0
1539,bozal clinico 3 (a. doctor),paseo,accesorios,7790.0,6191.0,17.0,2.0,0.001,500.0
244,canine i/d lata x low fat 370 grs,latas medicadas,alimento,4290.0,3336.0,13.0,1.0,0.015,1200.0
1146,bliss collar extra small,paseo,accesorios,7900.0,5579.0,19.0,0.0,0.004,550.0
1247,satiety feline pouch 85 gr,humedo,alimento,1900.0,1290.0,6.0,6.0,0.015,4600.0
721,pack conejo animal care,hogar-transporte,accesorios,73760.0,51850.0,155.0,3.0,0.001,500.0
1586,respig jarabe,antibiotico,medicamentos,9620.0,6960.0,18.0,2.0,0.0002,500.0
1341,biotivet plus 200 mg x 10 comp,antibiotico,medicamentos,17290.0,12944.0,32.0,0.0,0.0002,500.0
798,jaula cage cavie 60,hogar-transporte,accesorios,36740.0,24653.0,77.0,0.0,0.001,800.0
968,body gato 0 verde,ropa,accesorios,17590.0,12998.0,37.0,0.0,0.001,500.0
1795,wanpy soft duck jerky stripos,snack,alimento,4990.0,3712.0,10.0,,,500.0
1360,zeus arnes fig.a  s  fucsia,paseo,accesorios,7990.0,5969.0,19.0,0.0,0.004,850.0
1683,oftal 50 ml.,ocular,medicamentos,12470.0,8706.0,23.0,2.0,0.0002,500.0
1221,zeedog atlanta collar large,paseo,accesorios,12860.0,8913.0,31.0,3.0,0.004,850.0
1492,jg air wand con juguete,juguetes,accesorios,24260.0,16092.0,51.0,0.0,0.001,600.0
1591,pro plan active mind small breed 7.5 kg,senior,alimento,47120.0,33954.0,142.0,1.0,0.015,4050.0
381,zd army green ruff leash small,paseo,accesorios,21900.0,15411.0,54.0,2.0,0.004,1350.0
411,zeedog mahalo leash large,paseo,accesorios,16840.0,13060.0,35.0,1.0,0.001,500.0
438,zeedog brain dead,paseo,accesorios,10000.0,7157.0,25.0,1.0,0.004,1000.0
1831,squeaky bounce ball large,juguetes,accesorios,25990.0,17049.0,63.0,,,500.0
1251,zeedog skull h-harness small,paseo,accesorios,12700.0,9190.0,27.0,6.0,0.001,500.0
1679,zeus nosh hueso duro sabor tocino m,juguetes,accesorios,8990.0,6939.0,22.0,0.0,0.004,1200.0
1210,coastal sublime collar chevrons s/m,paseo,accesorios,12490.0,8343.0,26.0,0.0,0.001,500.0
1339,afp lamb flying mouse,juguetes,accesorios,8990.0,6466.0,22.0,0.0,0.004,500.0
1531,pack hamster  animal care  n°1,hogar-transporte,accesorios,54200.0,42743.0,114.0,3.0,0.001,500.0
744,caña con pompones,juguetes,accesorios,3990.0,2907.0,9.0,3.0,0.001,500.0
482,coastal circle-t collar redondo cuero rustico chocolate 55 c,paseo,accesorios,27290.0,19098.0,58.0,1.0,0.001,500.0
567,collar cuero nº 6 (g. araya),paseo,accesorios,8690.0,6698.0,21.0,2.0,0.004,500.0
182,zd artsy adjustable air mesh harness medium,paseo,accesorios,23900.0,17161.0,58.0,0.0,0.004,1100.0
170,military big (my family),placas identificacion,accesorios,11360.0,8545.0,27.0,0.0,0.004,1250.0
292,royal can. shn mini adulto 1 kgr.,adultos,alimento,10990.0,7196.0,34.0,3.0,0.015,1350.0
480,zd volt adj. air mesh harness medium,paseo,accesorios,23900.0,16045.0,50.0,1.0,0.001,600.0
1753,fancy feast tartare trucha 85 g,latas,alimento,900.0,591.0,3.0,0.0,0.015,2955.0
478,catapet cama chiporro chica nº1,camas,accesorios,18990.0,13908.0,39.0,0.0,0.001,500.0
1549,zeedog ella collar large,paseo,accesorios,12860.0,9435.0,27.0,0.0,0.001,500.0
808,brit care gf adult salmon 12 kg,adultos,alimento,62990.0,47305.0,190.0,9.0,0.015,1300.0
1803,collar expandible con hebilla negro,paseo,accesorios,6990.0,5532.0,14.0,,,500.0
1794,proplan adulto latas,humedo,alimento,4690.0,3631.0,10.0,,,500.0
1074,nutram sound adult senior cat 1.13 kg,senior,alimento,19870.0,13936.0,60.0,2.0,0.015,5050.0
1540,catit rasguðador  banca ,enriquecimiento ambiental,accesorios,22990.0,16154.0,49.0,0.0,0.001,600.0
371,zeedog mr. x,juguetes,accesorios,13900.0,9089.0,34.0,0.0,0.004,1250.0
1736,timoty clubbungalow-l,enriquecimiento ambiental,accesorios,50900.0,39958.0,107.0,0.0,0.001,1050.0
910,arnes de seguridad para auto talla: m,paseo,accesorios,15990.0,12402.0,39.0,0.0,0.004,1000.0
453,small heart aluminum purple (my family),placas identificacion,accesorios,7130.0,5189.0,18.0,0.0,0.004,500.0
1283,zeedog mahalo collar cat,paseo,accesorios,4880.0,3837.0,10.0,0.0,0.001,500.0
1596,pawise cama cafe perros,camas,accesorios,14990.0,10606.0,31.0,0.0,0.001,500.0
175,zd bordeau collar large,paseo,accesorios,12900.0,8877.0,27.0,0.0,0.001,500.0
1811,superpet gato omega,suplementos,medicamentos,7990.0,5602.0,15.0,,,500.0
1458,collar cuero nº 2 (g. araya),paseo,accesorios,5490.0,3864.0,12.0,3.0,0.001,500.0
1454,"zeus collar semifijo ""l"" grafito",paseo,accesorios,7989.66,5419.0,17.0,2.0,0.001,500.0
1030,"planet dog planet ball azul/verde ""s""",juguetes,accesorios,11590.0,8373.0,25.0,0.0,0.001,500.0
334,capa arnè talla 3 cata pets,ropa,accesorios,15490.0,11056.0,33.0,1.0,0.001,500.0
613,pro plan kitten pollo 85 gr pouch,humedo,alimento,1.0,0.0,1.0,1.0,0.015,0.0
1538,royal canin mini schnauzer adulto 2.5 kilo,razas,alimento,27650.0,19021.0,83.0,1.0,0.015,3550.0
1226,zeedog gotham h-harness large,paseo,accesorios,19830.0,15713.0,42.0,1.0,0.001,750.0
923,pawise mono con tirador,juguetes,accesorios,7990.0,5813.0,19.0,0.0,0.004,500.0
979,afp chill out mat de enfriamiento medium,juguetes,accesorios,27990.0,21855.0,69.0,1.0,0.004,1500.0
530,collar cuero nº 3 ( g. araya),paseo,accesorios,6190.0,4736.0,13.0,1.0,0.001,500.0
198,planet dog lil snoop royal,juguetes,accesorios,17990.0,13750.0,38.0,1.0,0.001,500.0
15,small heart aluminum red (my family),placas identificacion,accesorios,7130.0,5357.0,15.0,2.0,0.001,500.0
1378,contralac 20 x 16 comp.,comportamiento,medicamentos,34870.0,26419.0,64.0,0.0,0.0002,500.0
1270,zeedog mahalo h-harness large,paseo,accesorios,19830.0,15697.0,42.0,0.0,0.001,500.0
1448,pawise fetch it leon,juguetes,accesorios,6990.0,4994.0,14.0,0.0,0.001,500.0
1848,juguete limpieza dental ball,juguetes,accesorios,6990.0,5259.0,17.0,,,500.0
1799,proplan adulto cat alimento para gato,adultos,alimento,44990.0,30981.0,110.0,,,500.0
832,royal can fhn fit 32 7.5 kilo,adultos,alimento,65290.0,47175.0,196.0,3.0,0.015,2200.0
532,pro plan adult large breed 15kg ar,adultos,alimento,77690.0,59504.0,234.0,1.0,0.015,4450.0
1671,coastal fashion collar scales,paseo,accesorios,7990.0,5222.0,17.0,0.0,0.001,500.0
483,royal canin mini adulto  8 kg fr,adultos,alimento,48960.0,36290.0,147.0,1.0,0.015,500.0
199,royal canin poodle adulto 3 kg,razas,alimento,33160.0,23860.0,100.0,2.0,0.015,3900.0
1815,dog arnés negro,paseo,accesorios,21990.0,17363.0,54.0,,,500.0
1865,juguete columpio de colores para aves,hogar-transporte,accesorios,3990.0,2845.0,9.0,,,500.0
643,le salon essentials peine desenredar,grooming,accesorios,20990.0,13872.0,44.0,3.0,0.001,500.0
1682,power 1 p. 11-20 kg,ant. ext.,medicamentos,9190.0,6539.0,17.0,4.0,0.0002,500.0
1784,zeedog split leash small,paseo,accesorios,13900.0,10840.0,29.0,1.0,0.001,500.0
602,zeedog skull leash extra small,paseo,accesorios,10860.0,7320.0,22.0,1.0,0.001,500.0
1214,royal canin  feline hepatic 1.5kg,medicados,alimento,22210.0,15129.0,67.0,0.0,0.015,2450.0
746,pro plan adult cat 1kg ar,adultos,alimento,13900.0,9884.0,42.0,2.0,0.015,4000.0
1176,mazuri tubo huron,enriquecimiento ambiental,accesorios,43890.0,32247.0,107.0,0.0,0.004,2200.0
1314,zeedog prisma collar large,paseo,accesorios,12860.0,8711.0,27.0,0.0,0.001,500.0
993,columbia air mesh harness medium,paseo,accesorios,22500.5,16365.0,55.0,1.0,0.004,1450.0
56,columbia leash extra small,paseo,accesorios,10900.4,8341.0,26.0,1.0,0.004,500.0
588,zeedog neon coral handsfree leash,paseo,accesorios,24900.0,19591.0,61.0,0.0,0.004,500.0
1305,zeedog prisma collar cat,paseo,accesorios,4880.0,3822.0,11.0,1.0,0.004,500.0
1208,coastal style collar skulls m,paseo,accesorios,8800.0,6566.0,22.0,1.0,0.004,1150.0
1407,timothy tunel,enriquecimiento ambiental,accesorios,24600.0,18683.0,52.0,0.0,0.001,500.0
43,zeedog neopro bubblegum cat collar,paseo,accesorios,5800.0,4064.0,12.0,0.0,0.001,500.0
100,"dogit cuerdas anudadas rosada ""s""",juguetes,accesorios,2790.0,1968.0,6.0,0.0,0.001,500.0
274,bravery light iberian pork adult l/m breeds 4 kg,weight control,alimento,24990.0,19507.0,75.0,1.0,0.015,3100.0
353,bravery lamb mini adult small breed 2 kg,adultos,alimento,17990.0,13014.0,55.0,2.0,0.015,4900.0
101,ratón portagolosina rosado,juguetes,accesorios,2990.0,2042.0,6.0,1.0,0.001,500.0
1710,l.w piedra de lamer peq. anim. gan,snack,accesorios,3990.0,2769.0,9.0,1.0,0.001,500.0
841,catit 2.0 fuente bebedera flor led 3 lt,bebederos,accesorios,61990.0,45666.0,151.0,0.0,0.004,500.0
107,zeedog super banana,juguetes,accesorios,9870.0,7603.0,21.0,1.0,0.001,500.0
1684,zd midnight cat collar,paseo,accesorios,4900.0,3389.0,10.0,0.0,0.001,500.0
1850,bravery alimento seco natural 7kg,adultos,alimento,44990.0,34070.0,110.0,,,500.0
807,bliss collar medium,paseo,accesorios,10900.0,7710.0,26.0,1.0,0.004,550.0
777,coastal new earth collar de soya menta s/m,paseo,accesorios,10490.0,7756.0,22.0,1.0,0.001,500.0
1165,fhn fit 32 1.5kg,adultos,alimento,19710.0,14156.0,60.0,3.0,0.015,4650.0
543,brit care adult large breed l&r 12 kg,adultos,alimento,62990.0,47107.0,190.0,4.0,0.015,5250.0
950,camon juguete perro pelota tenis c/ sonido 2 un ,juguetes,accesorios,5290.0,4231.0,11.0,1.0,0.001,500.0
426,zeus collar ajustable  s  fucsia,paseo,accesorios,4190.0,3286.0,10.0,0.0,0.004,1050.0
1034,le salon cepillo goma c/mango curvo,grooming,accesorios,6490.0,4636.0,15.0,5.0,0.004,500.0
1211,wicked flyharness size 4,paseo,accesorios,37900.3,26337.0,79.0,0.0,0.001,750.0
128,brit care cat grain-free haircare healthy & shiny coat 2 kg,adultos,alimento,18990.0,14052.0,57.0,5.0,0.015,500.0
1551,ladybug (my family),placas identificacion,accesorios,17560.0,13730.0,37.0,0.0,0.001,500.0
1296,royal can fhn indoor 7.5 kg,adultos,alimento,65290.0,50859.0,196.0,1.0,0.015,5300.0
1320,oftavet,ocular,medicamentos,19660.0,15497.0,37.0,24.0,0.0002,500.0
1566,kertesin 20 mg,antialergico,medicamentos,19870.0,13301.0,37.0,0.0,0.0002,500.0
1137,smart fun chaqueta outdoor c/arnes xl,paseo,accesorios,32990.0,23631.0,69.0,1.0,0.001,650.0
1094,zeedog gotham collar large,paseo,accesorios,12860.0,8805.0,31.0,0.0,0.004,650.0
554,zeedog brain freeze,paseo,accesorios,10000.0,6997.0,21.0,1.0,0.001,500.0
481,afp doggies zapato oveja,juguetes,accesorios,17990.0,12950.0,45.0,1.0,0.004,1350.0
780,bliss cat collar,paseo,accesorios,4900.0,3417.0,10.0,0.0,0.001,500.0
904,zd hawkins stranger  leash large,paseo,accesorios,16900.0,11227.0,36.0,0.0,0.001,500.0
1404,royal can. hepatic canine 2 kg.,medicados,alimento,26130.0,19458.0,78.0,0.0,0.015,2450.0
1228,frontline plus pipeta perro 20-40 kg.,ant. ext.,medicamentos,15500.0,11939.0,29.0,3.0,0.0002,500.0
678,zd smash collar small,paseo,accesorios,9900.0,7447.0,21.0,1.0,0.001,500.0
925,gumi juguete hilo dental seda  mini ,juguetes,accesorios,9700.0,6574.0,20.0,2.0,0.001,500.0
1859,par de protectores de patas para perro 2x,hogar-transporte,accesorios,189990.0,136290.0,397.0,,,500.0
1446,bravery chicken mini adult small breeds 2 kg,adultos,alimento,15990.0,12132.0,49.0,1.0,0.015,1700.0
901,yorkshire terrier adulto  2.5kilo,razas,alimento,27650.0,18538.0,83.0,4.0,0.015,800.0
1844,polerón con gorro verde,ropa,accesorios,19990.0,15909.0,49.0,,,500.0
1239,dogit alfombrilla educadora  medium 14un,higiene,accesorios,6790.0,5416.0,17.0,12.0,0.004,500.0
756,carpeta orientadora x uni.,higiene,accesorios,600.0,436.0,2.0,0.0,0.001,500.0
978,zd skull 2.0 collar medium,paseo,accesorios,10900.0,8291.0,22.0,2.0,0.001,500.0
730,collar cuero nº 5 (g. araya),paseo,accesorios,7390.0,5365.0,15.0,3.0,0.001,500.0
405,zd skull 2.0 leash small,paseo,accesorios,13900.0,10363.0,29.0,0.0,0.001,500.0
1293,pro plan adulto carne pouch 100 gr,humedo,alimento,2530.0,2018.0,8.0,15.0,0.015,2000.0
1351,nf jfc more spraying 709 ml,acc acuarios,accesorios,14990.0,9909.0,31.0,0.0,0.001,550.0
309,zd artsy collar medium,paseo,accesorios,10900.0,8128.0,26.0,3.0,0.004,500.0
1593,pixel collar small,paseo,accesorios,10900.0,7806.0,22.0,0.0,0.001,500.0
1457,pink led adjustable air mesh harness small,paseo,accesorios,19300.0,14298.0,41.0,0.0,0.001,500.0
1433,royal canin maxi junior 15 kgr,adultos,alimento,89240.0,68412.0,268.0,4.0,0.015,1900.0
1816,zeedof arnés ajustable morado,paseo,accesorios,27990.0,18296.0,69.0,,,500.0
700,tx 2 pelotas yute catnip,juguetes,accesorios,2190.0,1510.0,5.0,0.0,0.001,500.0
148,cytopoint 10 mg iny 3-10 k,medicamentos,medicamentos,27490.0,19167.0,51.0,0.0,0.0002,500.0
548,zeedog fatboy ruff leash large,paseo,accesorios,23820.0,18165.0,50.0,0.0,0.001,900.0
651,zd candy collar large,paseo,accesorios,12900.0,10004.0,27.0,0.0,0.001,500.0
1233,big heart aluminum light blue (my family),placas identificacion,accesorios,7130.0,5027.0,18.0,0.0,0.004,500.0
720,zeedog mahalo collar medium,paseo,accesorios,10860.0,7202.0,22.0,0.0,0.001,500.0
736,bravecto 1.300 mg perro 40 a 56 kg,ant. ext.,medicamentos,53770.0,37858.0,99.0,0.0,0.0002,500.0
1419,dog bust-it elimina olor y manchas 710ml,higiene,accesorios,19240.0,12759.0,47.0,0.0,0.004,1000.0
1829,hueso entretenido,juguetes,accesorios,7990.0,6286.0,19.0,,,500.0
1644,proplan adulto latas,humedo,alimento,4690.0,3118.0,14.0,66.0,0.015,1600.0
1387,bravery chicken puppy large/medium breeds 12 kg,cachorros,alimento,59990.0,45406.0,182.0,3.0,0.015,500.0
839,zd candy cat collar,paseo,accesorios,4900.0,3481.0,10.0,0.0,0.001,500.0
286,zd neon coral adjustable air mesh harness extra small,paseo,accesorios,15100.0,10985.0,31.0,3.0,0.001,600.0
1504,fancy feast terrine pavo 85 g,latas,alimento,900.0,650.0,3.0,0.0,0.015,550.0
650,zd midnight adjustable air mesh harness extra small,paseo,accesorios,15100.0,11173.0,37.0,0.0,0.004,1450.0
704,laguna collar medium,paseo,accesorios,10900.4,7416.0,22.0,0.0,0.001,500.0
1535,royal can. shn mini junior 7.5 kgr.,cachorros,alimento,61500.0,47956.0,185.0,0.0,0.015,2600.0
1858,bebedera con acero inoxidable para gato,comederos,accesorios,65990.0,51711.0,162.0,,,500.0
1151,pederol clortetraciclina2% 250ml (dosis),antibiotico,medicamentos,39.0,25.0,1.0,0.0,0.0002,125.0
710,collar isabelino 10 cm nº(1),higiene,medicamentos,4500.0,3346.0,9.0,21.0,0.0002,500.0
1057,dreamwell cama rectangular gris/blanco,camas,accesorios,39990.0,28052.0,84.0,0.0,0.001,850.0
1634,zeus filtro fuente mini 3 unid,comederos,accesorios,6790.0,4498.0,14.0,1.0,0.001,500.0
939,columbia leash large,paseo,accesorios,16900.0,12626.0,42.0,1.0,0.004,850.0
1157,cama chiporro xl catapet,camas,accesorios,31990.0,24166.0,67.0,0.0,0.001,500.0
940,afp lamb dog cuddle con nudos,juguetes,accesorios,14490.0,10800.0,30.0,1.0,0.001,500.0
1778,zeedog phantom air mesh plus harness medium,paseo,accesorios,22430.0,17381.0,55.0,1.0,0.004,1700.0
1328,royal gastrointestinal felino 165 grs. (lata),latas medicadas,alimento,5240.0,3457.0,16.0,0.0,0.015,3400.0
1175,pawise elefante con tirador,juguetes,accesorios,7990.0,6356.0,17.0,4.0,0.001,500.0
493,capa polar chiporro t/4 cata pets,ropa,accesorios,12590.0,8952.0,27.0,3.0,0.001,500.0
277,profender cats spot-on pip. 2.5 a 5 kg.,ant. ext.,medicamentos,14520.0,11428.0,27.0,1.0,0.0002,500.0
1726,pro plan reduced calorie m/l 15kg ar,adultos,alimento,81230.0,55323.0,246.0,0.0,0.015,1150.0
358,orange and white english cocker  (my family),placas identificacion,accesorios,17560.0,13083.0,37.0,1.0,0.001,500.0
1700,zeedog skull h-harness large,paseo,accesorios,18900.0,13747.0,39.0,2.0,0.001,500.0
236,pro plan puppy small breed 7.5kg ar,cachorros,alimento,56320.0,40454.0,170.0,0.0,0.015,2800.0
551,zd candy adj. air mesh harness medium,paseo,accesorios,23900.0,18766.0,50.0,0.0,0.001,500.0
1746,white european shorthair (my family),placas identificacion,accesorios,13330.0,9500.0,28.0,1.0,0.001,500.0
1379,afp green rush p-b-t,juguetes,accesorios,5590.0,4396.0,12.0,1.0,0.001,500.0
208,milpro gato x 2 comp + 2 kg,antiparasitarios,medicamentos,13990.0,9309.0,26.0,5.0,0.0002,500.0
1769,koralen 20 mg (oral),analgesico,medicamentos,15830.0,11300.0,30.0,2.0,0.0002,500.0
1463,l.w. comedero o bebedero gde 125 ml,comederos,accesorios,3390.0,2493.0,7.0,3.0,0.001,500.0
58,repelente spray interior 300 ml,higiene,accesorios,9220.0,6558.0,19.0,0.0,0.001,500.0
1480,coastal sublime collar purple s/m,paseo,accesorios,12490.0,9262.0,26.0,1.0,0.001,500.0
363,daily stuff transportadora route 2,hogar-transporte,accesorios,25990.0,18982.0,54.0,3.0,0.001,500.0
1164,cama zapato gde. cata pets,camas,accesorios,31790.0,22427.0,78.0,1.0,0.004,1200.0
593,bliss adjustable air mesh harness small,paseo,accesorios,19300.0,15269.0,41.0,2.0,0.001,700.0
1049,habitrail ovo suite,hogar-transporte,accesorios,69990.0,52658.0,171.0,1.0,0.004,2400.0
1503,zeedog atlanta h-harness medium,paseo,accesorios,16840.0,11137.0,35.0,1.0,0.001,500.0
741,fp atlas 20 / transportadora 58x37x32h cm,hogar-transporte,accesorios,25070.0,16769.0,52.0,0.0,0.001,800.0
1361,pro plan puppy small breed 1kg ar,cachorros,alimento,10880.0,7274.0,32.0,4.0,0.015,2350.0
1760,zeedog skull collar cat,paseo,accesorios,3800.0,2514.0,7.0,0.0,0.001,500.0
118,zd neon coral leash + harness set,paseo,accesorios,11900.0,8918.0,25.0,0.0,0.001,500.0
1169,adult instinctive pouch 85gr 12un,humedo,alimento,2330.0,1683.0,8.0,1.0,0.015,1700.0
